"user_id","platform","cluster_id","baseline_activity","signup_cohort","pre_metric"
1,"android",56,1.79905267435572,"cohort_C",1.87487610965097
2,"web",474,2.63222073756466,"cohort_A",1.96573170976022
3,"ios",17,2.5474859176183,"cohort_A",3.40688130063592
4,"web",349,5.01980577322152,"cohort_C",4.43406871338036
5,"web",45,10.9374585780302,"cohort_C",10.1582904586343
6,"android",220,5.60088182421629,"cohort_A",6.28985005111481
7,"ios",416,1.34220227036149,"cohort_A",1.77022545402903
8,"web",51,1.21898499921058,"cohort_B",2.10324311902601
9,"ios",413,4.43004823755803,"cohort_B",3.96419964764259
10,"ios",2,2.65863217427864,"cohort_A",2.02099689051181
11,"web",238,5.24661255577537,"cohort_A",6.31484639987682
12,"ios",102,0.87972529857051,"cohort_C",0.449967826072028
13,"ios",56,2.40256952150912,"cohort_B",2.71376791799077
14,"ios",302,12.4313528739808,"cohort_B",11.7993269196935
15,"android",296,7.40189201334478,"cohort_A",8.00089747183603
16,"web",138,8.97666705647223,"cohort_A",8.70703767362061
17,"android",479,0.972700718656077,"cohort_A",1.28008462740119
18,"android",483,15.573036763981,"cohort_B",15.0287170407367
19,"android",44,3.3141792673716,"cohort_C",3.85662942278583
20,"web",149,0.88220115231562,"cohort_B",1.64734943258523
21,"web",388,8.40032135462077,"cohort_B",7.92974028547907
22,"ios",388,11.8218856535806,"cohort_B",11.6830526519756
23,"ios",176,8.81315005546664,"cohort_B",8.48872464504403
24,"web",121,6.90747046483638,"cohort_C",6.21488234147559
25,"ios",275,4.81144533652534,"cohort_B",4.66029563290473
26,"web",82,5.09120885207098,"cohort_B",4.41064385523305
27,"ios",423,2.44000996543569,"cohort_C",2.39641668090918
28,"ios",216,0.606072017668389,"cohort_B",0.61424756222999
29,"android",413,5.52172979841965,"cohort_A",5.66984267024159
30,"android",384,0.743319641663744,"cohort_B",0.84509407743156
31,"web",445,2.26375958766104,"cohort_B",3.01044341017224
32,"web",204,4.88291991768798,"cohort_B",4.28606305114189
33,"ios",465,3.0569963771526,"cohort_C",2.23040436568654
34,"web",453,1.44745786244562,"cohort_A",1.59639982783897
35,"android",63,1.92659490442006,"cohort_C",1.64919804623792
36,"ios",29,4.011398357083,"cohort_B",4.57794189372638
37,"web",322,0.781185024264317,"cohort_B",1.393094238188
38,"android",24,1.72600880921403,"cohort_B",1.30632103622496
39,"android",424,3.96528550992817,"cohort_B",3.05430519838061
40,"android",236,21.5385063600121,"cohort_A",22.1002656628097
41,"android",100,0.954018558977141,"cohort_C",1.16372760239712
42,"ios",70,2.3043893694574,"cohort_A",2.50039862329703
43,"ios",168,3.80145950391407,"cohort_A",3.86230376252894
44,"ios",171,4.82644512759218,"cohort_A",4.48463769249303
45,"android",247,6.22418124302903,"cohort_A",6.10955168410232
46,"android",308,2.18903197745504,"cohort_B",1.90321642868687
47,"android",340,1.40561966918993,"cohort_A",2.23798128251716
48,"ios",292,6.22460403357875,"cohort_A",6.74789130693737
49,"android",330,8.81090038375001,"cohort_B",8.99200616987125
50,"web",293,2.78682453868633,"cohort_A",2.81071498239051
51,"android",37,9.78070316252574,"cohort_B",10.5861472253293
52,"ios",7,4.40864539536917,"cohort_C",4.3763735385073
53,"web",122,5.02608429216947,"cohort_B",5.47027014518112
54,"android",14,9.24865472854112,"cohort_B",9.61656841930532
55,"ios",269,5.95289616116633,"cohort_C",6.4565626327059
56,"android",115,2.69432285620225,"cohort_C",2.7338845300669
57,"android",95,0.334523062109927,"cohort_A",0.737886293600076
58,"web",465,3.41017380147806,"cohort_A",2.70523593005966
59,"web",194,4.6375703517708,"cohort_C",5.56963545298371
60,"ios",5,0.668245326937951,"cohort_B",1.02994615431295
61,"ios",205,2.33382243111741,"cohort_C",1.97953316492117
62,"android",270,4.28342844289647,"cohort_C",5.17105003570281
63,"ios",454,2.53887767777071,"cohort_A",2.0933083992846
64,"android",288,6.02403191494243,"cohort_B",5.79415909941344
65,"web",73,1.926480196388,"cohort_A",2.44090869234592
66,"ios",449,1.60350912641417,"cohort_A",2.20877687757725
67,"web",197,1.79177325639227,"cohort_B",2.18123835392103
68,"web",341,4.1594019201649,"cohort_A",4.27824815186278
69,"web",135,2.36692524948021,"cohort_B",1.83474802991072
70,"ios",79,0.439390718680975,"cohort_C",1.13660571483769
71,"web",55,2.39438651313523,"cohort_A",1.83117208722541
72,"ios",445,1.14099591939565,"cohort_A",2.11210483623443
73,"web",407,1.21987144230442,"cohort_B",1.63817111287206
74,"android",496,9.40828823886536,"cohort_A",9.78286607167878
75,"ios",443,2.59001174354197,"cohort_A",2.77782157917212
76,"android",469,4.55243803738616,"cohort_C",5.25863616494919
77,"ios",480,3.35467835517336,"cohort_B",3.04123968460591
78,"ios",220,12.5037275001613,"cohort_A",12.6064214879026
79,"ios",182,2.44349246685166,"cohort_B",2.56017108803747
80,"android",492,1.84872748540452,"cohort_A",1.4688060231638
81,"android",313,6.25069778177168,"cohort_A",6.49889775424713
82,"ios",92,1.05687192004586,"cohort_A",0.860834995409755
83,"ios",142,3.0295052947181,"cohort_C",3.13144868900239
84,"web",451,1.09819815062429,"cohort_B",0.378292883721314
85,"android",241,3.05366156386956,"cohort_C",3.2992657996539
86,"ios",16,2.35873649006978,"cohort_A",2.11587249549039
87,"web",216,0.885578922451642,"cohort_B",1.09608039452364
88,"web",453,0.516481636115956,"cohort_C",0.283295232468426
89,"web",259,2.83210993614811,"cohort_A",2.81165448499432
90,"android",196,4.87816082988753,"cohort_B",4.45152879372173
91,"android",474,2.65850332597157,"cohort_B",3.09453910834047
92,"ios",198,1.79133932847409,"cohort_B",1.13941240984635
93,"android",184,5.79770572691427,"cohort_B",6.07161753660821
94,"ios",490,2.92119116868536,"cohort_A",3.09275527927325
95,"android",214,5.11040315183248,"cohort_B",4.82898020113664
96,"android",491,6.98089987814584,"cohort_B",6.44824960890384
97,"web",301,1.04016355232139,"cohort_A",0.58861250538899
98,"android",400,1.34455731264056,"cohort_A",1.46285319818527
99,"ios",202,0.925688841638903,"cohort_B",0.875548251101837
100,"ios",358,1.46555535326894,"cohort_C",0.940218894338684
101,"ios",43,2.90726090929806,"cohort_B",2.13987823757692
102,"android",409,2.337650113964,"cohort_B",1.64433777212205
103,"ios",165,2.79364962380497,"cohort_C",2.23628062104547
104,"web",83,1.81049236882547,"cohort_B",2.19771130920604
105,"ios",185,1.71336874108491,"cohort_C",1.80728738652558
106,"web",463,0.582666637958982,"cohort_A",-0.191035792167512
107,"web",484,4.5162723348979,"cohort_C",4.11942617706598
108,"ios",88,0.845339109734768,"cohort_C",1.08386644018863
109,"ios",192,3.87307386173999,"cohort_A",4.20482999467451
110,"android",351,6.54106663272302,"cohort_A",6.89559072751908
111,"web",255,1.53964897107109,"cohort_B",2.13010547435082
112,"android",46,3.71847766812935,"cohort_A",3.95649978606286
113,"android",491,2.12916823388388,"cohort_A",2.18304702215883
114,"web",116,3.46566162786698,"cohort_A",3.48767411878167
115,"web",468,1.21455557708823,"cohort_C",1.7004237826395
116,"android",221,1.1780549956242,"cohort_C",1.1450266937625
117,"ios",445,3.27058352204852,"cohort_A",3.5869271712157
118,"web",40,4.94139146908623,"cohort_B",5.0844207802811
119,"ios",17,7.19589214714102,"cohort_B",6.33054245145312
120,"ios",408,1.74076366050153,"cohort_A",1.2526774367368
121,"ios",317,1.64054832510344,"cohort_B",1.17586980986432
122,"android",394,5.63319355394541,"cohort_C",5.22504883398164
123,"android",139,4.29155509078726,"cohort_B",4.48705185849941
124,"android",229,8.38622010330987,"cohort_A",8.98241209064561
125,"ios",8,2.11619663048019,"cohort_B",1.18001702114591
126,"web",388,3.52890217196072,"cohort_A",3.91104492961802
127,"android",82,0.555234126728493,"cohort_C",-0.0230079066556887
128,"android",209,6.40782903557909,"cohort_A",6.7179365776201
129,"android",16,2.16553355723219,"cohort_B",1.91666158101778
130,"ios",175,1.15079237413964,"cohort_C",1.16679640700754
131,"ios",308,4.86621007413259,"cohort_A",5.52996271344056
132,"web",221,2.73881520015867,"cohort_B",2.64158936555359
133,"ios",46,1.61672910996034,"cohort_C",1.46395446014276
134,"web",88,9.21145427570313,"cohort_C",9.13008189323159
135,"ios",471,1.02645973859146,"cohort_B",1.2527589572056
136,"ios",141,8.87010029314836,"cohort_B",9.17162842477805
137,"web",105,9.16374465334246,"cohort_C",9.23131268859498
138,"web",172,2.77038775381354,"cohort_A",2.90016904049305
139,"web",339,2.00356454196202,"cohort_A",1.7024455148298
140,"ios",494,2.28431754400057,"cohort_B",1.45311111656439
141,"android",474,2.24551685188368,"cohort_A",1.85397584539584
142,"ios",408,2.60398871381472,"cohort_C",1.36292161240338
143,"android",42,3.56298445711958,"cohort_A",3.44120202364465
144,"android",373,9.89471426550124,"cohort_C",9.35572633226034
145,"web",393,5.11573188387253,"cohort_C",4.68851564681969
146,"android",233,1.34325560076683,"cohort_B",0.190435730944135
147,"android",405,1.19391277483947,"cohort_C",1.24866247115366
148,"android",242,10.0010106536936,"cohort_A",9.72795494568968
149,"android",425,8.67752703401503,"cohort_A",8.73659399368674
150,"web",168,1.19754962534307,"cohort_A",1.4682555078032
151,"web",300,2.30133812796807,"cohort_A",2.63542010563125
152,"ios",307,9.15167089803654,"cohort_B",8.79506061115679
153,"ios",83,8.64028825649569,"cohort_B",9.05203421169678
154,"android",479,5.1205282893406,"cohort_B",5.67529108151095
155,"android",221,3.28506678459777,"cohort_C",4.00310296535146
156,"ios",50,0.814928096510632,"cohort_A",-0.0036664623654562
157,"ios",399,0.823406023798763,"cohort_A",1.58213900751655
158,"android",454,1.95214068368968,"cohort_C",2.1574356963831
159,"ios",405,2.77301934374019,"cohort_A",2.11131352002118
160,"android",319,4.41835450678574,"cohort_A",4.09569310321475
161,"ios",142,2.93143861249379,"cohort_B",2.78482703746652
162,"ios",31,4.37353650861987,"cohort_B",4.90426452715367
163,"ios",481,1.03309920432164,"cohort_C",2.31759584375504
164,"ios",336,11.432617180907,"cohort_C",12.0755288263744
165,"ios",264,3.38869673271592,"cohort_B",3.22642988008875
166,"ios",284,1.2415260180324,"cohort_A",1.05220594964744
167,"web",94,1.3232495790567,"cohort_B",1.35594329851049
168,"android",31,1.46466912477029,"cohort_C",1.7216649173207
169,"ios",408,1.24598051232947,"cohort_C",0.415384738167836
170,"android",181,11.1282227857046,"cohort_B",11.2627306057636
171,"ios",81,3.4202719060104,"cohort_C",3.36407766006502
172,"android",293,5.85050676161312,"cohort_B",5.06629463458942
173,"web",180,4.53691185791546,"cohort_A",4.26280620039201
174,"web",313,6.07251668701756,"cohort_A",6.03602152066788
175,"ios",140,2.79411285019418,"cohort_B",3.06082780835088
176,"ios",177,5.57064081595203,"cohort_A",4.99593848716243
177,"ios",461,6.12381675651064,"cohort_B",6.21948368738611
178,"ios",290,1.6269970131636,"cohort_A",2.1169241557956
179,"web",340,2.09968050543451,"cohort_C",2.21709307961105
180,"ios",490,1.07795740983077,"cohort_A",0.63297066109573
181,"web",308,2.14042489340253,"cohort_B",1.85528231431046
182,"android",114,5.80035778280674,"cohort_C",6.76138073823097
183,"web",32,2.76810504179033,"cohort_A",1.91549892545789
184,"android",426,5.38655714417252,"cohort_C",5.39636682697044
185,"ios",124,4.22254409284302,"cohort_B",4.09971336701293
186,"ios",107,0.709820059666718,"cohort_C",0.951238093381321
187,"android",12,8.94409100652288,"cohort_C",8.40445155560009
188,"ios",442,6.55915404929712,"cohort_B",7.13409036716625
189,"web",378,6.5398625217934,"cohort_B",6.49835166093793
190,"web",60,2.97595925759153,"cohort_B",2.17985915698804
191,"android",281,4.67875876725861,"cohort_A",4.62101997244119
192,"android",295,4.5104324873831,"cohort_C",4.44219929898482
193,"web",208,2.47159272972321,"cohort_B",2.03234279683985
194,"ios",77,6.31300521529846,"cohort_A",5.70913425136765
195,"web",489,6.04503177109038,"cohort_C",5.39533531909991
196,"ios",163,6.44648280617289,"cohort_C",6.23922660024206
197,"ios",282,4.06886203884949,"cohort_C",4.48384926186558
198,"ios",225,2.99065499836008,"cohort_A",2.69912725933537
199,"android",163,4.3127504249645,"cohort_B",4.46069454993945
200,"ios",10,6.03661019063792,"cohort_C",6.2781382630288
201,"android",336,15.0949818732729,"cohort_B",15.1822174196798
202,"web",267,1.93367935334637,"cohort_A",2.41085591794019
203,"ios",318,0.871776693736226,"cohort_A",2.06650412767555
204,"ios",24,8.50406139351917,"cohort_C",8.57326988704762
205,"ios",132,2.14432585567446,"cohort_A",1.7483572932083
206,"web",300,4.21640709382384,"cohort_C",3.99698442278385
207,"ios",255,1.88188496145085,"cohort_A",1.64625267994392
208,"android",385,1.82161552643653,"cohort_C",1.7184863912999
209,"android",464,3.38539585724557,"cohort_C",3.68860360943189
210,"android",18,2.72926847871939,"cohort_B",2.97946280898459
211,"ios",115,3.71008344736677,"cohort_C",3.04414358783589
212,"android",179,1.83957586254929,"cohort_C",1.26327973437328
213,"android",304,3.78602005719629,"cohort_B",3.474269432002
214,"ios",457,6.52956163392844,"cohort_B",6.60758962570043
215,"android",157,18.7068460944463,"cohort_C",18.0369075908363
216,"web",27,5.2743213217667,"cohort_B",5.22644788513693
217,"ios",326,3.75273052336858,"cohort_B",3.66525004764995
218,"ios",72,2.98012496165416,"cohort_B",2.69666005478973
219,"web",227,1.15475696125219,"cohort_B",1.70589051066296
220,"web",28,3.69122860196228,"cohort_A",3.91930499267117
221,"android",341,3.32561609003761,"cohort_A",3.46783343489077
222,"web",263,7.17317841193373,"cohort_B",7.72850945569692
223,"web",277,8.33257363144928,"cohort_A",9.18905900477821
224,"ios",295,7.61619031412555,"cohort_B",8.61769734515113
225,"android",281,0.703000223821024,"cohort_B",0.617763469928962
226,"ios",420,2.41440310021476,"cohort_A",2.52084316064402
227,"ios",62,2.49618190951313,"cohort_A",2.65110844590062
228,"ios",7,1.28968922379844,"cohort_A",1.65900885069922
229,"ios",303,4.2358035031286,"cohort_A",3.95677442060127
230,"web",430,9.58269557506787,"cohort_B",9.75787554154128
231,"ios",408,0.161625315836004,"cohort_B",-0.313618561680671
232,"ios",333,1.41057440242743,"cohort_A",1.39311714654379
233,"ios",301,3.79833803896367,"cohort_A",4.69489520866454
234,"android",337,1.82437676884035,"cohort_C",0.197227690772267
235,"android",20,3.87303170992548,"cohort_B",4.42584393028341
236,"ios",133,2.43124536142209,"cohort_A",1.13197434445411
237,"android",397,4.31228478606316,"cohort_B",4.53656107574934
238,"web",286,12.7278650407767,"cohort_A",12.2895409540477
239,"android",56,7.2323433641891,"cohort_C",6.16289938663569
240,"web",231,3.58966220832651,"cohort_A",4.45863463659611
241,"ios",51,4.94949981706714,"cohort_A",5.24952397633409
242,"ios",33,6.00794140618569,"cohort_A",5.71671554810079
243,"android",489,3.42741362077884,"cohort_C",3.80641837313368
244,"ios",121,5.59779821008571,"cohort_C",4.87389079989422
245,"android",348,8.6990778040814,"cohort_B",9.35420050665343
246,"web",8,5.44845703956277,"cohort_C",4.7870227264443
247,"ios",138,6.08092900269814,"cohort_A",5.32273527798628
248,"web",499,5.21181143333161,"cohort_B",4.96090226628142
249,"web",98,3.31109679483632,"cohort_C",3.90466873342131
250,"web",398,0.745752052041178,"cohort_A",0.515211381793699
251,"android",307,7.79298777415431,"cohort_A",7.38357831974174
252,"android",417,6.31390309618515,"cohort_B",5.41396567509566
253,"ios",344,3.64224217589263,"cohort_B",4.56294035078348
254,"android",291,2.78989807228304,"cohort_B",2.76448093367849
255,"ios",360,0.235839708912278,"cohort_B",0.0379968613670377
256,"web",107,1.63335736696862,"cohort_C",0.974033222874923
257,"android",154,2.70659156321557,"cohort_B",2.82990954873453
258,"ios",101,3.60681981611635,"cohort_C",4.35675313228319
259,"ios",324,2.61604024895763,"cohort_C",2.00583661036636
260,"web",247,6.90388097860461,"cohort_C",7.31303107108764
261,"web",28,3.1405623061634,"cohort_A",3.37671889526986
262,"web",410,8.1270798440825,"cohort_A",9.43442398415183
263,"ios",208,4.2394393054498,"cohort_B",4.30819264270344
264,"web",8,1.17113920920307,"cohort_C",1.70357246690345
265,"ios",313,8.57948543919724,"cohort_C",8.96399775698707
266,"ios",159,0.887301396670233,"cohort_B",0.445985480351875
267,"android",237,9.84294257751484,"cohort_C",10.3575911221998
268,"android",234,8.79266919439106,"cohort_B",8.6932029845698
269,"android",228,0.812441978380812,"cohort_B",1.5254171992629
270,"ios",488,1.60071847238633,"cohort_C",1.47326472025958
271,"web",273,4.55430669305064,"cohort_C",4.96960857975184
272,"android",416,0.814307506160167,"cohort_C",0.123448614499016
273,"android",71,7.69619458129525,"cohort_A",7.6399954398159
274,"android",145,3.45400372832447,"cohort_A",3.24680280383127
275,"web",158,9.74588616427314,"cohort_C",9.59987766854439
276,"web",258,6.27330433988489,"cohort_B",6.88480560821462
277,"web",233,1.49471373031449,"cohort_C",1.68553584601353
278,"ios",131,4.81400965210064,"cohort_B",5.26894682781908
279,"android",114,1.34799888329317,"cohort_B",1.34327334113087
280,"ios",233,1.79672561189636,"cohort_B",0.686462737773599
281,"web",296,1.9120315587453,"cohort_C",2.29743899799771
282,"android",285,13.3251735610826,"cohort_B",13.0503558662399
283,"ios",403,0.733854685304477,"cohort_C",0.4888577921261
284,"android",195,3.47093462608531,"cohort_B",2.53008725727613
285,"android",466,2.33244275847682,"cohort_B",1.70768711610826
286,"ios",331,4.67985399817953,"cohort_B",5.24213362999639
