"threshold","matches"
0,9834
0.01,9834
0.02,9811
0.03,9811
0.04,9811
0.05,9811
0.06,9811
0.07,9811
0.08,9811
0.09,9811
0.1,9811
0.11,9811
0.12,9811
0.13,9811
0.14,9811
0.15,9811
0.16,9811
0.17,9811
0.18,9811
0.19,9811
0.2,9811
0.21,9811
0.22,9811
0.23,9811
0.24,9811
0.25,9811
0.26,9811
0.27,9811
0.28,9811
0.29,9811
0.3,9811
0.31,9811
0.32,9811
0.33,9811
0.34,9811
0.35,9811
0.36,9121
0.37,9121
0.38,9121
0.39,9121
0.4,9121
0.41,9121
0.42,9121
0.43,9121
0.44,9121
0.45,9121
0.46,9121
0.47,9121
0.48,9121
0.49,9121
0.5,9121
0.51,9121
0.52,9121
0.53,9121
0.54,9121
0.55,9121
0.56,9121
0.57,9121
0.58,9121
0.59,9121
0.6,9121
0.61,9121
0.62,9121
0.63,9121
0.64,8637
0.65,8637
0.66,8637
0.67,8637
0.68,8637
0.69,8637
0.7,8637
0.71,8637
0.72,8637
0.73,8637
0.74,8637
0.75,8637
0.76,8637
0.77,8637
0.78,8637
0.79,8637
0.8,8637
0.81,8637
0.82,8637
0.83,8637
0.84,8637
0.85,8637
0.86,8637
0.87,8637
0.88,8637
0.89,8637
0.9,8637
0.91,8637
0.92,8637
0.93,8637
0.94,8637
0.95,8637
0.96,7532
0.97,7532
0.98,7532
0.99,4586
1,0
